Value,Count,Percentage (%)
Ubung_6_CDA.pdf,1,"2,04"
KDE_Projekt,1,"2,04"
pcbo.7,1,"2,04"
Topic space trajectories.pdf,1,"2,04"
pcbo-linux-x86_64-static,1,"2,04"
workspace.xml,1,"2,04"
inspectionProfiles,1,"2,04"
Antrag_Foerderung,1,"2,04"
pcbo-windows-i686-static.exe,1,"2,04"
pcbo-linux-sparc64-static,1,"2,04"
Downloads.iml,1,"2,04"
Project_Default.xml,1,"2,04"
pcbo-amai.zip,1,"2,04"
Sales_Transactions_Dataset_Weekly.csv,1,"2,04"
~$tivationsschreiben_Warschau.docx,1,"2,04"
Bildschirmfoto 2024-11-24 um 22.26.17.png,1,"2,04"
.DS_Store,2,"4,08"
Makefile,1,"2,04"
DB_Ticket_Kassel_Ulm.pdf,1,"2,04"
Image Generation System Demo 3.pdf,1,"2,04"
Bildschirmfoto 2024-12-03 um 20.26.17.png,1,"2,04"
sales-transactions-dataset-weekly_archive.torrent,1,"2,04"
pcbo,1,"2,04"
CbO_1993.pdf,1,"2,04"
intents.dat,1,"2,04"
pcbo-amai,1,"2,04"
.idea,1,"2,04"
DB_Tickets,1,"2,04"
Bildschirmfoto 2024-12-03 um 09.41.12.png,1,"2,04"
README.html,1,"2,04"
Ubung_6_CDA.note,1,"2,04"
README.txt,1,"2,04"
~$Preasi IntroABM.pptx,1,"2,04"
.localized,1,"2,04"
pcbo.c,1,"2,04"
Studienstiftung_Weihnachtsquiz.png,1,"2,04"
.gitignore,1,"2,04"
DB_Ticket_Ulm_Kassel.pdf,1,"2,04"
Image Generation System Demo.pdf,1,"2,04"
modules.xml,1,"2,04"
Image Generation System Demo 2.pdf,1,"2,04"
HandbuchBewerbung.pdf,1,"2,04"
misc.xml,1,"2,04"
pcbo-linux-i686-static,1,"2,04"
Downloads,1,"2,04"
GI_vote-receipt-a2755c4ed9.pdf,1,"2,04"
COPYRIGHT,1,"2,04"
Checkliste.pdf,1,"2,04"
