Value,Count,Percentage (%)
/Users/klara/Downloads/Studienstiftung_Weihnachtsquiz.png,1,"2,04"
/Users/klara/Downloads/.idea/.gitignore,1,"2,04"
/Users/klara/Downloads/Image Generation System Demo.pdf,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo,1,"2,04"
/Users/klara/Downloads/.idea/inspectionProfiles,1,"2,04"
/Users/klara/Downloads/Bildschirmfoto 2024-12-03 um 20.26.17.png,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/CbO_1993.pdf,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/intents.dat,1,"2,04"
/Users/klara/Downloads/.localized,1,"2,04"
/Users/klara/Downloads,1,"2,04"
/Users/klara/Downloads/Image Generation System Demo 2.pdf,1,"2,04"
/Users/klara/Downloads/Ubung_6_CDA.pdf,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/pcbo-amai/README.txt,1,"2,04"
/Users/klara/Downloads/KDE_Projekt,1,"2,04"
/Users/klara/Downloads/Antrag_Foerderung/HandbuchBewerbung.pdf,1,"2,04"
/Users/klara/Downloads/Antrag_Foerderung/Checkliste.pdf,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo-linux-sparc64-static,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/Bildschirmfoto 2024-11-24 um 22.26.17.png,1,"2,04"
/Users/klara/Downloads/Ubung_6_CDA.note,1,"2,04"
/Users/klara/Downloads/.DS_Store,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/.DS_Store,1,"2,04"
/Users/klara/Downloads/.idea,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo-linux-i686-static,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/pcbo-amai.zip,1,"2,04"
/Users/klara/Downloads/Bildschirmfoto 2024-12-03 um 09.41.12.png,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/pcbo-amai/README.html,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/pcbo-amai,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/pcbo-amai/Makefile,1,"2,04"
/Users/klara/Downloads/sales-transactions-dataset-weekly_archive.torrent,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo-linux-x86_64-static,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo.7,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo.c,1,"2,04"
/Users/klara/Downloads/Antrag_Foerderung,1,"2,04"
/Users/klara/Downloads/.idea/inspectionProfiles/Project_Default.xml,1,"2,04"
/Users/klara/Downloads/Sales_Transactions_Dataset_Weekly.csv,1,"2,04"
/Users/klara/Downloads/Image Generation System Demo 3.pdf,1,"2,04"
/Users/klara/Downloads/.idea/modules.xml,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo-windows-i686-static.exe,1,"2,04"
/Users/klara/Downloads/~$Preasi IntroABM.pptx,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/pcbo-amai/COPYRIGHT,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/GI_vote-receipt-a2755c4ed9.pdf,1,"2,04"
/Users/klara/Downloads/DB_Tickets/DB_Ticket_Ulm_Kassel.pdf,1,"2,04"
/Users/klara/Downloads/.idea/misc.xml,1,"2,04"
/Users/klara/Downloads/.idea/workspace.xml,1,"2,04"
/Users/klara/Downloads/.idea/Downloads.iml,1,"2,04"
/Users/klara/Downloads/DB_Tickets,1,"2,04"
/Users/klara/Downloads/~$tivationsschreiben_Warschau.docx,1,"2,04"
/Users/klara/Downloads/DB_Tickets/DB_Ticket_Kassel_Ulm.pdf,1,"2,04"
/Users/klara/Downloads/KDE_Projekt/Topic space trajectories.pdf,1,"2,04"
