Value,Count,Percentage (%)
5566,1,"2,04"
570136,1,"2,04"
174362,1,"2,04"
1859,1,"2,04"
270,1,"2,04"
2394406,1,"2,04"
52072,1,"2,04"
560320,1,"2,04"
5968,1,"2,04"
76100,1,"2,04"
96,1,"2,04"
2921138,1,"2,04"
162,1,"2,04"
2177942,1,"2,04"
546584,1,"2,04"
17987,1,"2,04"
10485,1,"2,04"
1176351,1,"2,04"
1318,1,"2,04"
784230,1,"2,04"
14336,1,"2,04"
1263751,1,"2,04"
176,1,"2,04"
128,2,"4,08"
284,1,"2,04"
2498130,1,"2,04"
2812607,1,"2,04"
6148,2,"4,08"
197798,1,"2,04"
640,1,"2,04"
320,1,"2,04"
416,1,"2,04"
0,1,"2,04"
129932,1,"2,04"
324,1,"2,04"
165,1,"2,04"
6791,1,"2,04"
1191,1,"2,04"
4873,1,"2,04"
580425,1,"2,04"
256,1,"2,04"
4042042,1,"2,04"
933925,1,"2,04"
57489,1,"2,04"
175773,1,"2,04"
18121,1,"2,04"
317399,1,"2,04"
