file_name,len,type,file_path
Downloads,640,dir,/Users/klara/Downloads
Antrag_Foerderung,128,dir,/Users/klara/Downloads/Antrag_Foerderung
HandbuchBewerbung.pdf,1176351,pdf,/Users/klara/Downloads/Antrag_Foerderung/HandbuchBewerbung.pdf
Checkliste.pdf,57489,pdf,/Users/klara/Downloads/Antrag_Foerderung/Checkliste.pdf
DB_Tickets,128,dir,/Users/klara/Downloads/DB_Tickets
DB_Ticket_Kassel_Ulm.pdf,175773,pdf,/Users/klara/Downloads/DB_Tickets/DB_Ticket_Kassel_Ulm.pdf
DB_Ticket_Ulm_Kassel.pdf,174362,pdf,/Users/klara/Downloads/DB_Tickets/DB_Ticket_Ulm_Kassel.pdf
Ubung_6_CDA.note,1263751,note,/Users/klara/Downloads/Ubung_6_CDA.note
.DS_Store,6148,DS_Store,/Users/klara/Downloads/.DS_Store
~$Preasi IntroABM.pptx,165,pptx,/Users/klara/Downloads/~$Preasi IntroABM.pptx
~$tivationsschreiben_Warschau.docx,162,docx,/Users/klara/Downloads/~$tivationsschreiben_Warschau.docx
.localized,0,localized,/Users/klara/Downloads/.localized
Bildschirmfoto 2024-12-03 um 09.41.12.png,129932,png,/Users/klara/Downloads/Bildschirmfoto 2024-12-03 um 09.41.12.png
Image Generation System Demo 2.pdf,2921138,pdf,/Users/klara/Downloads/Image Generation System Demo 2.pdf
Image Generation System Demo 3.pdf,2812607,pdf,/Users/klara/Downloads/Image Generation System Demo 3.pdf
KDE_Projekt,320,dir,/Users/klara/Downloads/KDE_Projekt
Topic space trajectories.pdf,4042042,pdf,/Users/klara/Downloads/KDE_Projekt/Topic space trajectories.pdf
.DS_Store,6148,DS_Store,/Users/klara/Downloads/KDE_Projekt/.DS_Store
intents.dat,197798,dat,/Users/klara/Downloads/KDE_Projekt/intents.dat
GI_vote-receipt-a2755c4ed9.pdf,5968,pdf,/Users/klara/Downloads/KDE_Projekt/GI_vote-receipt-a2755c4ed9.pdf
pcbo-amai,416,dir,/Users/klara/Downloads/KDE_Projekt/pcbo-amai
pcbo.7,4873,7,/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo.7
pcbo-linux-i686-static,546584,pcbo-linux-i686-static,/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo-linux-i686-static
Makefile,1191,Makefile,/Users/klara/Downloads/KDE_Projekt/pcbo-amai/Makefile
pcbo-linux-sparc64-static,560320,pcbo-linux-sparc64-static,/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo-linux-sparc64-static
README.html,6791,html,/Users/klara/Downloads/KDE_Projekt/pcbo-amai/README.html
pcbo-windows-i686-static.exe,14336,exe,/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo-windows-i686-static.exe
pcbo,52072,pcbo,/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo
pcbo.c,18121,c,/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo.c
README.txt,5566,txt,/Users/klara/Downloads/KDE_Projekt/pcbo-amai/README.txt
COPYRIGHT,17987,COPYRIGHT,/Users/klara/Downloads/KDE_Projekt/pcbo-amai/COPYRIGHT
pcbo-linux-x86_64-static,570136,pcbo-linux-x86_64-static,/Users/klara/Downloads/KDE_Projekt/pcbo-amai/pcbo-linux-x86_64-static
pcbo-amai.zip,784230,zip,/Users/klara/Downloads/KDE_Projekt/pcbo-amai.zip
CbO_1993.pdf,933925,pdf,/Users/klara/Downloads/KDE_Projekt/CbO_1993.pdf
Bildschirmfoto 2024-11-24 um 22.26.17.png,76100,png,/Users/klara/Downloads/KDE_Projekt/Bildschirmfoto 2024-11-24 um 22.26.17.png
Ubung_6_CDA.pdf,2177942,pdf,/Users/klara/Downloads/Ubung_6_CDA.pdf
sales-transactions-dataset-weekly_archive.torrent,1859,torrent,/Users/klara/Downloads/sales-transactions-dataset-weekly_archive.torrent
Studienstiftung_Weihnachtsquiz.png,580425,png,/Users/klara/Downloads/Studienstiftung_Weihnachtsquiz.png
Bildschirmfoto 2024-12-03 um 20.26.17.png,2394406,png,/Users/klara/Downloads/Bildschirmfoto 2024-12-03 um 20.26.17.png
Image Generation System Demo.pdf,2498130,pdf,/Users/klara/Downloads/Image Generation System Demo.pdf
Sales_Transactions_Dataset_Weekly.csv,317399,csv,/Users/klara/Downloads/Sales_Transactions_Dataset_Weekly.csv
.idea,256,dir,/Users/klara/Downloads/.idea
Downloads.iml,284,iml,/Users/klara/Downloads/.idea/Downloads.iml
inspectionProfiles,96,dir,/Users/klara/Downloads/.idea/inspectionProfiles
Project_Default.xml,10485,xml,/Users/klara/Downloads/.idea/inspectionProfiles/Project_Default.xml
.gitignore,176,gitignore,/Users/klara/Downloads/.idea/.gitignore
workspace.xml,1318,xml,/Users/klara/Downloads/.idea/workspace.xml
modules.xml,270,xml,/Users/klara/Downloads/.idea/modules.xml
misc.xml,324,xml,/Users/klara/Downloads/.idea/misc.xml
